Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,240p,C0805,134.6,-117,180,top
C2,100n,C0805,135.4,-102.6,-90,top
C3,330p,C0805,129.9,-117,0,top
C4,75p,C0805,133.6,-113.5,90,top
C5,100n,C0805,133.2,-92.8,180,top
C6,390p,C0805,130,-112,0,top
C7,2u2,C1206,133.79,-84.7,180,top
C8,75p,C0805,133.6,-108.9,90,top
C9,330p,C0805,130,-109.7,0,top
C10,100n,C0805,115.4,-96.2,90,top
C11,240p,C0805,132.4,-102.6,90,top
C12,4u7,C1206,123.6,-85.79,90,top
C13,4u7,C1206,128.09,-84.7,0,top
C14,10u,C1206,123.6,-91.29,90,top
C15,10u,C1206,125.29,-95.5,0,top
C16,100n,C0805,116.1,-106.7,-90,top
C17,100n,C0805,120.8,-116,-90,top
C18,100n,C0805,105.1,-91,180,top
C19,100n,C0805,105,-111.8,180,top
C20,100n,C0805,109.5,-111.8,0,top
C21,100n,C0805,111.5,-83.3,180,top
C22,100n,C0805,107,-101.4,0,top
C23,100n,C0805,128.4,-101.5,180,top
C24,100n,C0805,119.4,-89.9,90,top
L1,82uH,IND-SMD_L4.5-W4.0_CD43,133.85,-88.8,180,top
L2,470n,L0805,129.93,-119.5,180,top
L3,470n,L0805,130,-114.5,180,top
L4,470n,L0805,130,-107.2,180,top
L5,470uH,IND-SMD_L4.0-W4.0,120.8,-108.1,180,top
L6,470uH,IND-SMD_L4.0-W4.0,119.4,-94.5,180,top
R1,5k1,R0805,139.7,-95.8,90,top
R2,5k1,R0805,142,-95.8,90,top
R3,51,R0805,135.4,-98.3,-90,top
R4,20k,R0805,112.7,-103.6,-90,top
R5,51,R0805,115.4,-92.1,90,top
R6,10k,R0805,110.4,-103.6,90,top
R7,51,R0805,116.1,-110.9,-90,top
R8,20k,R0805,112.7,-99.15,90,top
R9,10k,R0805,110.4,-99.15,-90,top
R10,20k,R0805,122.8,-103.85,-90,top
R11,10k,R0805,125.1,-103.85,90,top
R12,51,R0805,117,-117,180,top
R13,20k,R0805,122.8,-99.15,90,top
R14,10k,R0805,125.1,-99.15,-90,top
R15,51,R0805,118.3,-86.7,180,top
RF1,filtered_input,ANT-TH_KH-SMA-K513-G,140.7,-117,180,top
RF2,unfiltered_input,ANT-TH_KH-SMA-K513-G,140.7,-103.6,180,top
RF3,out_1,ANT-TH_KH-SMA-K513-G,105.1,-106.6,0,top
RF4,out_1,ANT-TH_KH-SMA-K513-G,105.1,-96.2,0,top
RF5,out_1,ANT-TH_KH-SMA-K513-G,105,-117,0,top
RF6,out_1,ANT-TH_KH-SMA-K513-G,105.1,-85.8,0,top
U1,TC7660M/TR,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,127.8275,-90.1,180,top
U2,DIO2644,TSSOP-14_4.4x5mm_P0.65mm,117.8,-101.4,0,top
USB1,TYPE-C16PIN,USB-C-SMD_TYPE-C16PIN,140.3,-88.3,90,top
XF1,STCM11+,XFMR-SMD_STCM11,112.22,-107.9,90,top
XF2,STCM11+,XFMR-SMD_STCM11,111.73,-93.7,180,top
XF3,STCM11+,XFMR-SMD_STCM11,112.22,-115.7,90,top
XF4,STCM11+,XFMR-SMD_STCM11,112.22,-87.07,90,top
